path	git_first_seen	git_last_modified	first_equals_last
Notes/0-1 Loss.md	2025-04-03	2026-04-15	0
Notes/01 Knapsack Dynamic Programming Approach.md	2025-02-09	2026-04-15	0
Notes/01 Knapsack Problem.md	2025-02-09	2026-04-15	0
Notes/0th Law of Thermodynamics.md	2023-10-06	2026-04-15	0
Notes/13C NMR.md	2023-09-16	2026-04-23	0
Notes/1H NMR.md	2023-08-29	2026-04-23	0
Notes/1st Law of Thermodynamics.md	2023-10-06	2026-04-15	0
Notes/1st Order Linear Homogenous ODE.md	2023-08-12	2026-04-15	0
Notes/2,3-BPG.md	2023-10-29	2026-04-15	0
Notes/2-Phosphoglycerate.md	2023-10-29	2026-04-15	0
Notes/2nd Law of Thermodynamics.md	2023-10-29	2026-04-15	0
Notes/2nd Order DEQs.md	2023-10-29	2026-04-15	0
Notes/3-Phosphoglycerate.md	2025-02-09	2026-04-15	0
Notes/3D Dirac Delta.md	2024-01-27	2026-04-15	0
Notes/3rd Law of Thermodynamics.md	2024-01-27	2026-04-15	0
Notes/4 Tenets of Medicine.md	2024-01-27	2026-04-15	0
Notes/4D Gaussian Splatting.md	2025-02-09	2026-04-15	0
Notes/A-star Algorithm.md	2025-10-27	2026-04-15	0
Notes/ABS Braking.md	2024-01-27	2026-04-15	0
Notes/AC Current.md	2023-08-20	2026-04-15	0
Notes/ACTH.md	2023-08-20	2026-04-15	0
Notes/ADH.md	2023-08-12	2026-04-15	0
Notes/ADHD.md	2026-04-15	2026-04-15	1
Notes/AM-GM Inequality.md	2023-10-29	2026-04-15	0
Notes/ANOVA.md	2025-10-27	2026-04-15	0
Notes/APT.md	2025-02-09	2026-04-15	0
Notes/ASL.md	2024-01-27	2026-04-15	0
Notes/AUROC.md	2025-04-03	2026-04-15	0
Notes/Abnormal Psychology.md	2024-01-27	2026-04-15	0
Notes/Absolute Activity.md	2024-01-27	2026-04-15	0
Notes/Absolute Stereochemistry.md	2023-10-06	2026-04-15	0
Notes/Absorbance.md	2024-01-27	2026-04-15	0
Notes/Abstract Algebra.md	2023-08-20	2026-04-15	0
Notes/Acetal.md	2023-08-14	2026-04-23	0
Notes/Acetylcholine.md	2023-08-20	2026-04-15	0
Notes/Acid-Base.md	2023-08-12	2026-04-15	0
Notes/Acidic Amino Acids.md	2023-08-14	2026-04-15	0
Notes/Aconitase.md	2024-01-27	2026-04-15	0
Notes/Actin.md	2025-07-22	2026-04-15	0
Notes/Action.md	2024-01-27	2026-04-15	0
Notes/Activation Function.md	2025-02-09	2026-04-15	0
